"Sr. No.","State","Work","Work ID","IDA","Hon'ble Members of Parliament","Elected/Nominated","Expenditure Date","Vendor Name","Payment Status","Fund Disbursed Amount ( ₹ )"
"10296","Rajasthan","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP146/2024-2025/141416","Salumbar(DISTRICT COLLECTOR Salumbar_IDA)","Shri Mukul Wasnik (2022-28) (2022-2028)","Elected MP","01-May-2025","Mini Bank Tokar","Payment Success","65780"
"10297","Kerala","Lighting of public spaces","WS/MP101/2024-2025/180692","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","14-Mar-2025","Index Electronics","Payment Success","382737"
"10298","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/168806","WAYANAD(DISTRICT COLLECTOR WAYANAD_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","12-May-2026","Index Electronics","Payment Success","449193"
"10299","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/257568","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","16-Jul-2026","Index Electronics","Payment Success","299838"
"10300","Kerala","Lighting of public spaces","WS/MP18405/2025-2026/169041","MALAPPURAM(DISTRICT COLLECTOR MALAPPURAM_IDA)","Shri P. P. Suneer (2024-30) (2024-2030)","Elected MP","07-Aug-2026","Index Electronics","Payment Success","300000"
"10301","Kerala","Lighting of public spaces","WS/MP101/2024-2025/180691","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","17-Mar-2025","Index Electronics","Payment Success","382737"
"10302","Kerala","Lighting of public spaces","WS/MP101/2025-2026/149421","KANNUR(DISTRICT COLLECTOR KANNUR_IDA)","Shri Sandosh Kumar P (2022-28) (2022-2028)","Elected MP","06-Aug-2026","Index Electronics","Payment Success","382737"
"10303","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP18304/2025-2026/190410","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Shri Harsh Mahajan (2024-30) (2024-2030)","Elected MP","13-Jun-2025","GP Kalzar Matiyana","Payment Success","100000"
"10304","Himachal Pradesh","Construction of footpaths and pedestrian ways","WS/MP078/2024-2025/13532","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Mar-2025","GP Kalzar Matiyana","Payment Success","150000"
"10305","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/151658","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","13-Mar-2025","GP Kalzar Matiyana","Payment Success","140000"
"10306","Himachal Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP078/2024-2025/151658","SHIMLA(DEPUTY COMMISSIONER SHIMLA_IDA)","Dr. Sikander Kumar (2022-28) (2022-2028)","Elected MP","05-Jul-2025","GP Kalzar Matiyana","Payment Success","59000"
"10307","Punjab","Construction of buildings for sports facilities","WS/MP141/2024-2025/135854","KAPURTHALA(DEPUTY COMMISSIONER KAPURTHALA_IDA)","Shri Harbhajan Singh (2022-28) (2022-2028)","Elected MP","18-Mar-2025","PADAM ENGINEERING CO","Payment Success","23826"
"10308","Madhya Pradesh","Crematoriums/energy efficient crematoriums or structures on burial/cremation ground","WS/MP106/2026-2027/276718","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","26-Jul-2026","SARPANCH SACHIV GRAM PANCHYAT SURTALAI","Payment Success","300000"
"10309","Madhya Pradesh","Construction of roads, link roads, pathways or any other road with or without drainage system","WS/MP106/2024-2025/151174","JABALPUR(DISTRICT COLLECTOR JABALPUR_IDA)","Shri Vivek K. Tankha (2022-28) (2022-2028)","Elected MP","11-Mar-2025","SARPANCH SACHIV GRAM PANCHYAT SURTALAI","Payment Success","400000"
"10310","Uttar Pradesh","Street lights","WS/MP189/2025-2026/147109","BALLIA(DISTRICT MAGISTRAE BALLIA_IDA)","Shri Kapil Sibal (2022-28) (2022-2028)","Elected MP","24-Jun-2025","ABHAY NARAYAN YADAV","Payment Success","314400"
